#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: helix.png (452 x 124)
# $TexturePacker:SmartUpdate:4487c2ebe1fca416cc30beb9e278337d:30c42bde67d45c8f4e5190bb531eeb1b:27d1f381082380631af3cd7ca71164ef$
#

h0000;0;345;1;50;62;64;64;0.5;0.4838709677419355
h0001;1;255;65;61;54;64;64;0.5;0.47540983606557374
h0002;1;318;65;61;54;64;64;0.5;0.47540983606557374
h0003;1;65;67;61;56;64;64;0.5;0.47540983606557374
h0004;1;381;65;61;54;64;64;0.5;0.47540983606557374
h0005;1;128;67;61;56;64;64;0.5;0.4918032786885246
h0006;0;397;1;54;61;64;64;0.5;0.5081967213114754
h0007;1;191;66;62;54;64;64;0.5;0.5161290322580645
h0008;1;1;67;62;56;64;64;0.5;0.5161290322580645
h0009;0;235;1;54;62;64;64;0.5;0.5161290322580645
h0010;0;291;1;52;62;64;64;0.5;0.5161290322580645
h0011;0;183;1;50;63;64;64;0.5;0.5079365079365079
h0012;0;1;1;46;64;64;64;0.5;0.5
h0013;0;141;1;40;64;64;64;0.5;0.5
h0014;0;97;1;42;64;64;64;0.5;0.5
h0015;0;49;1;46;64;64;64;0.5;0.5
