#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: ef1.png (1020 x 904)
# $TexturePacker:SmartUpdate:6584b9b1d954c4f2f6c058e3676b7f9a:274b2a635e7371b5518dd0117cfbe393:599f33db16f6751d25a88f09e3328e45$
#

Effect/BlueGlow;0;1;745;128;128;128;128;0.5;0.5
Effect/Bubble;0;631;616;64;64;64;64;0.5;0.5
Effect/Bullet/0;0;567;798;6;10;6;10;0.5;0.5
Effect/Bullet/1;0;990;710;17;17;17;17;0.5;0.5
Effect/Bullet/2;0;927;694;19;8;19;8;0.5;0.5
Effect/Bullet/3;0;417;891;12;12;12;12;0.5;0.5
Effect/Bullet/4;0;1009;637;10;17;10;17;0.5;0.5
Effect/Bullet/5;0;1009;698;10;17;10;17;0.5;0.5
Effect/Bullet/6;0;1009;717;10;17;10;17;0.5;0.5
Effect/Bullet/7;0;861;732;10;17;10;17;0.5;0.5
Effect/Bullet/8;0;873;722;10;17;10;17;0.5;0.5
Effect/Bullet/9;0;382;874;8;19;8;19;0.5;0.5
Effect/Bullet/10;0;999;418;8;19;8;19;0.5;0.5
Effect/Bullet/11;0;918;594;10;6;10;6;0.5;0.5
Effect/Bullet/12;0;816;788;8;19;8;19;0.5;0.5
Effect/Bullet/13;1;208;875;22;13;13;22;0.5;0.5
Effect/Bullet/14;0;816;809;8;19;8;19;0.5;0.5
Effect/Bullet/15;1;686;814;6;10;10;6;0.5;0.5
Effect/Bullet/16;0;856;797;13;13;13;13;0.5;0.5
Effect/Bullet/17;0;392;872;17;17;17;17;0.5;0.5
Effect/Bullet/18;0;411;872;17;17;17;17;0.5;0.5
Effect/Bullet/19;0;430;872;17;17;17;17;0.5;0.5
Effect/Bullet/20;0;449;872;17;17;17;17;0.5;0.5
Effect/Bullet/21;0;966;681;18;17;18;17;0.5;0.5
Effect/Bullet/22;0;879;702;18;17;18;17;0.5;0.5
Effect/Bullet/23;1;523;375;39;11;11;39;0.5;0.5
Effect/Bullet/24;1;198;890;49;13;13;49;0.5;0.5
Effect/Bullet/25;0;980;492;39;11;39;11;0.5;0.5
Effect/Bullet/26;0;967;868;9;9;9;9;0.5;0.5
Effect/Bullet/27;0;991;808;8;13;8;13;0.5;0.5
Effect/Bullet/28;1;999;439;8;11;11;8;0.5;0.5
Effect/Bullet/29;0;1011;781;8;13;8;13;0.5;0.5
Effect/Bullet/30;0;1001;793;8;13;8;13;0.5;0.5
Effect/Bullet/31;0;1011;796;8;13;8;13;0.5;0.5
Effect/Bullet/32;0;1001;334;18;18;18;18;0.5;0.5
Effect/Bullet/33;0;1001;354;18;18;18;18;0.5;0.5
Effect/Bullet/34;0;966;661;18;18;18;18;0.5;0.5
Effect/Bullet/35;1;999;386;8;30;30;8;0.5;0.5
Effect/Bullet/36;0;986;661;18;18;18;18;0.5;0.5
Effect/Bullet/37;0;950;891;8;8;8;8;0.5;0.5
Effect/Bullet/38;0;970;879;8;8;8;8;0.5;0.5
Effect/Bullet/39;0;989;870;9;9;9;9;0.5;0.5
Effect/Bullet/40;0;885;721;14;14;14;14;0.5;0.5
Effect/Bullet/41;0;950;881;8;8;8;8;0.5;0.5
Effect/Bullet/42;0;960;890;8;8;8;8;0.5;0.5
Effect/Bullet/43;0;906;889;9;9;9;9;0.5;0.5
Effect/Bullet/44;0;969;855;11;11;11;11;0.5;0.5
Effect/Bullet/45;0;961;729;13;13;13;13;0.5;0.5
Effect/Bullet/46;0;961;744;13;13;13;13;0.5;0.5
Effect/Bullet/47;0;976;729;13;13;13;13;0.5;0.5
Effect/Bullet/48;0;1004;157;15;15;15;15;0.5;0.5
Effect/Bullet/49;0;826;806;17;17;17;17;0.5;0.5
Effect/Bullet/50;1;1001;808;8;11;11;8;0.5;0.5
Effect/Bullet/51;1;845;787;9;15;15;9;0.5;0.5
Effect/Bullet/52;0;982;855;11;11;11;11;0.5;0.5
Effect/Bullet/53;1;939;704;9;18;18;9;0.5;0.5
Effect/Bullet/54;1;834;580;10;20;20;10;0.5;0.5
Effect/Bullet/55;0;1014;299;5;5;5;5;0.5;0.5
Effect/Bullet/56;0;1000;871;7;7;7;7;0.5;0.5
Effect/Bullet/57;1;969;781;13;10;10;13;0.5;0.5
Effect/Bullet/58;0;1009;871;7;7;7;7;0.5;0.5
Effect/Bullet/59;0;684;602;11;12;11;12;0.5;0.5
Effect/Bullet/60;0;431;891;11;12;11;12;0.5;0.5
Effect/Bullet/61;0;444;891;11;12;11;12;0.5;0.5
Effect/Bullet/62;0;457;891;11;12;11;12;0.5;0.5
Effect/Bullet/63;0;559;859;6;10;6;10;0.5;0.5
Effect/Bullet/64;0;995;857;11;11;11;11;0.5;0.5
Effect/Bullet/65;1;559;871;6;10;10;6;0.5;0.5
Effect/Bullet/66;0;917;881;9;9;9;9;0.5;0.5
Effect/Bullet/67;0;928;881;9;9;9;9;0.5;0.5
Effect/Bullet/68;0;976;744;13;13;13;13;0.5;0.5
Effect/Bullet/69;0;939;881;9;9;9;9;0.5;0.5
Effect/Bullet/70;0;1008;858;11;11;11;11;0.5;0.5
Effect/Bullet/71;0;991;729;13;13;13;13;0.5;0.5
Effect/Bullet/72;0;1006;736;13;13;13;13;0.5;0.5
Effect/Bullet/73;0;816;830;15;15;15;15;0.5;0.5
Effect/Bullet/74;0;833;825;17;17;17;17;0.5;0.5
Effect/Bullet/75;1;1011;811;8;11;11;8;0.5;0.5
Effect/Bullet/76;0;916;868;11;11;11;11;0.5;0.5
Effect/Bullet/77;1;845;804;9;15;15;9;0.5;0.5
Effect/Bullet/78;0;470;891;18;9;18;9;0.5;0.5
Effect/Bullet/79;0;991;744;13;13;13;13;0.5;0.5
Effect/Bullet/80;1;1009;615;10;20;20;10;0.5;0.5
Effect/Bullet/81;0;1014;306;5;5;5;5;0.5;0.5
Effect/Bullet/82;0;1007;880;7;7;7;7;0.5;0.5
Effect/Bullet/83;0;1007;889;7;7;7;7;0.5;0.5
Effect/Bullet/84;0;567;810;6;10;6;10;0.5;0.5
Effect/Bullet/85;1;567;822;6;10;10;6;0.5;0.5
Effect/Bullet/86;0;917;892;9;9;9;9;0.5;0.5
Effect/Bullet/87;0;928;892;9;9;9;9;0.5;0.5
Effect/Bullet/88;0;929;868;11;11;11;11;0.5;0.5
Effect/Bullet/89;0;939;892;9;9;9;9;0.5;0.5
Effect/Bullet/90;1;984;781;13;10;10;13;0.5;0.5
Effect/Bullet/91;0;942;868;11;11;11;11;0.5;0.5
Effect/Bullet/92;0;1006;751;13;13;13;13;0.5;0.5
Effect/Bullet/93;0;1006;766;13;13;13;13;0.5;0.5
Effect/Bullet/94;0;823;770;15;15;15;15;0.5;0.5
Effect/Bullet/95;0;842;732;17;17;17;17;0.5;0.5
Effect/Bullet/96;1;882;829;8;11;11;8;0.5;0.5
Effect/Bullet/97;1;871;782;9;15;15;9;0.5;0.5
Effect/Bullet/98;0;827;721;18;9;18;9;0.5;0.5
Effect/Bullet/99;0;999;374;20;10;20;10;0.5;0.5
Effect/Bullet/100;0;888;737;11;11;11;11;0.5;0.5
Effect/Bullet/101;0;1006;656;13;13;13;13;0.5;0.5
Effect/Bullet/102;0;1014;174;5;5;5;5;0.5;0.5
Effect/Bullet/103;0;980;505;7;7;7;7;0.5;0.5
Effect/Bullet/104;0;1009;443;7;7;7;7;0.5;0.5
Effect/Bullet/105;0;1014;181;5;5;5;5;0.5;0.5
Effect/Bullet/106;0;989;505;7;7;7;7;0.5;0.5
Effect/Bullet/107;0;998;505;7;7;7;7;0.5;0.5
Effect/Bullet/108;0;882;842;8;8;8;8;0.5;0.5
Effect/Bullet/109;0;847;721;9;9;9;9;0.5;0.5
Effect/Bullet/110;0;999;781;10;10;10;10;0.5;0.5
Effect/Bullet/111;0;926;793;11;11;11;11;0.5;0.5
Effect/Bullet/112;0;989;240;30;8;30;8;0.5;0.5
Effect/Bullet/113;0;1006;671;13;13;13;13;0.5;0.5
Effect/Bullet/114;0;926;806;11;11;11;11;0.5;0.5
Effect/Bullet/115;0;670;602;12;12;12;12;0.5;0.5
Effect/Bullet/116;0;901;721;13;13;13;13;0.5;0.5
Effect/Bullet/117;0;950;694;14;14;14;14;0.5;0.5
Effect/Bullet/118;0;939;793;11;11;11;11;0.5;0.5
Effect/Bullet/119;0;939;806;11;11;11;11;0.5;0.5
Effect/Bullet/120;0;952;793;11;11;11;11;0.5;0.5
Effect/Bullet/121;0;952;806;11;11;11;11;0.5;0.5
Effect/Bullet/122;0;965;793;11;11;11;11;0.5;0.5
Effect/Bullet/123;0;965;806;11;11;11;11;0.5;0.5
Effect/Bullet/124;0;889;750;10;13;10;13;0.5;0.5
Effect/Bullet/125;1;96;890;49;13;13;49;0.5;0.5
Effect/Bullet/126;0;978;793;11;11;11;11;0.5;0.5
Effect/Bullet/127;1;147;890;49;13;13;49;0.5;0.5
Effect/Bullet/128;1;157;875;49;13;13;49;0.5;0.5
Effect/Bullet/129;0;851;894;9;9;9;9;0.5;0.5
Effect/Bullet/130;0;978;806;11;11;11;11;0.5;0.5
Effect/Bullet/131;0;892;826;11;11;11;11;0.5;0.5
Effect/Bullet/132;1;840;770;9;15;15;9;0.5;0.5
Effect/Bullet/133;0;905;826;11;11;11;11;0.5;0.5
Effect/Bullet/134;0;892;839;11;11;11;11;0.5;0.5
Effect/Bullet/135;0;916;723;13;13;13;13;0.5;0.5
Effect/Bullet/136;0;905;839;11;11;11;11;0.5;0.5
Effect/Bullet/137;0;918;829;11;11;11;11;0.5;0.5
Effect/Bullet/138;0;862;894;9;9;9;9;0.5;0.5
Effect/Bullet/139;0;1009;834;10;10;10;10;0.5;0.5
Effect/Bullet/140;0;931;829;11;11;11;11;0.5;0.5
Effect/Bullet/141;0;864;883;9;9;9;9;0.5;0.5
Effect/Bullet/142;0;549;891;12;12;12;12;0.5;0.5
Effect/Bullet/143;0;851;767;13;13;13;13;0.5;0.5
Effect/Bullet/144;0;842;751;14;14;14;14;0.5;0.5
Effect/Bullet/145;0;859;711;18;9;18;9;0.5;0.5
Effect/Bullet/146;0;1014;188;5;5;5;5;0.5;0.5
Effect/Bullet/147;0;944;829;11;11;11;11;0.5;0.5
Effect/Bullet/148;0;957;829;11;11;11;11;0.5;0.5
Effect/Bullet/149;0;970;829;11;11;11;11;0.5;0.5
Effect/Bullet/150;0;918;842;11;11;11;11;0.5;0.5
Effect/Bullet/151;0;931;842;11;11;11;11;0.5;0.5
Effect/Bullet/152;0;944;842;11;11;11;11;0.5;0.5
Effect/Bullet/153;0;873;894;9;9;9;9;0.5;0.5
Effect/Bullet/154;0;957;842;11;11;11;11;0.5;0.5
Effect/Bullet/155;0;866;767;13;13;13;13;0.5;0.5
Effect/Bullet/156;0;874;751;13;13;13;13;0.5;0.5
Effect/Bullet/157;0;834;556;13;22;13;22;0.5;0.5
Effect/Bullet/158;0;856;782;13;13;13;13;0.5;0.5
Effect/Bullet/159;1;1009;593;10;20;20;10;0.5;0.5
Effect/Bullet/160;0;856;812;13;13;13;13;0.5;0.5
Effect/Bullet/161;0;871;799;13;13;13;13;0.5;0.5
Effect/Bullet/162;0;871;814;13;13;13;13;0.5;0.5
Effect/Bullet/163;0;1014;195;5;5;5;5;0.5;0.5
Effect/Bullet/164;0;1007;505;7;7;7;7;0.5;0.5
Effect/Bullet/165;0;970;842;11;11;11;11;0.5;0.5
Effect/Bullet/166;0;980;879;7;7;7;7;0.5;0.5
Effect/Bullet/167;0;1001;821;8;8;8;8;0.5;0.5
Effect/Bullet/168;0;852;827;13;13;13;13;0.5;0.5
Effect/Bullet/169;0;983;829;11;11;11;11;0.5;0.5
Effect/Bullet/170;0;983;842;11;11;11;11;0.5;0.5
